	Baie Chérim	Custap Berry	Tenue, cette Baie permet d’attaquer en premier une fois en cas de besoin.
	Baie Frista	Starf Berry	Tenue, cette Baie monte beaucoup une des stats en cas de besoin.
	Baie Wiki	Wiki Berry	Tenue, cette Baie restaure des PV en cas de besoin, mais rend confus si le Pokémon n’aime pas son goût.
	Baie Mago	Mago Berry	Tenue, cette Baie restaure des PV en cas de besoin, mais rend confus si le Pokémon n’aime pas son goût.
	Baie Gowav	Aguav Berry	Tenue, cette Baie restaure des PV en cas de besoin, mais rend confus si le Pokémon n’aime pas son goût.
	Baie Figuy	Figy Berry	Tenue, cette Baie restaure des PV en cas de besoin, mais rend confus si le Pokémon n’aime pas son goût.
	Baie Papaya	Iapapa Berry	Tenue, cette Baie restaure des PV en cas de besoin, mais rend confus si le Pokémon n’aime pas son goût.
	Baie Zalis	Chilan Berry	Tenue, cette Baie affaiblit une attaque ennemie de type Normal.
	Baie Babiri	Babiri Berry	Tenue, cette Baie affaiblit une attaque ennemie super efficace de type Acier.
	Baie Selro	Roseli Berry	Tenue, cette Baie affaiblit une attaque ennemie super efficace de type Fée.
	Baie Ratam	Rindo Berry	Tenue, cette Baie affaiblit une attaque ennemie super efficace de type Plante.
	Baie Pocpoc	Passho Berry	Tenue, cette Baie affaiblit une attaque ennemie super efficace de type Eau.
	Baie Chocco	Occa Berry	Tenue, cette Baie affaiblit une attaque ennemie super efficace de type Feu.
	Baie Parma	Wacan Berry	Tenue, cette Baie affaiblit une attaque ennemie super efficace de type Électrik.
	Baie Nanone	Yache Berry	Tenue, cette Baie affaiblit une attaque ennemie super efficace de type Glace.
	Baie Pomroz	Chople Berry	Tenue, cette Baie affaiblit une attaque ennemie super efficace de type Combat.
	Baie Charti	Charti Berry	Tenue, cette Baie affaiblit une attaque ennemie super efficace de type Roche.
	Baie Kébia	Kebia Berry	Tenue, cette Baie affaiblit une attaque ennemie super efficace de type Poison.
	Baie Jouca	Shuca Berry	Tenue, cette Baie affaiblit une attaque ennemie super efficace de type Sol.
	Baie Cobaba	Coba Berry	Tenue, cette Baie affaiblit une attaque ennemie super efficace de type Vol.
	Baie Yapap	Payapa Berry	Tenue, cette Baie affaiblit une attaque ennemie super efficace de type Psy.
	Baie Panga	Tanga Berry	Tenue, cette Baie affaiblit une attaque ennemie super efficace de type Insecte.
	Baie Sédra	Kasib Berry	Tenue, cette Baie affaiblit une attaque ennemie super efficace de type Spectre.
	Baie Fraigo	Haban Berry	Tenue, cette Baie affaiblit une attaque ennemie super efficace de type Dragon.
	Baie Lampou	Colbur Berry	Tenue, cette Baie affaiblit une attaque ennemie super efficace de type Ténèbres.
	Améliorator	Up-Grade	Dispositif transparent rempli de données diverses et variées. Fabriqué par la Sylphe SARL.
	Écailledraco	Dragon Scale	Une écaille épaisse et dure tenue parfois par les Pokémon de type Dragon quand ils sont attrapés.
	Protecteur	Protector	Objet protecteur très dur et très lourd, apprécié d’un certain Pokémon.
	Bel'Écaille	Prism Scale	Une écaille étrange qui fait évoluer certaines espèces de Pokémon. Elle a une couleur arc-en-ciel.
	Pierre Ovale	Oval Stone	Pierre étrange qui fait évoluer certaines espèces de Pokémon. Elle a la forme d’un œuf.
	Pierre Éclat	Shiny Stone	Pierre étrange qui fait évoluer certaines espèces de Pokémon. Elle brille d’une lumière aveuglante.
	Pierre Nuit	Dusk Stone	Pierre étrange qui fait évoluer certaines espèces de Pokémon. Elle est sombre comme une nuit sans lune.
	Pierre Eau	Water Stone	Une pierre étrange qui fait évoluer certaines espèces de Pokémon. Elle est de couleur bleue.
	Électiriseur	Electirizer	Une boîte remplie d’une énorme quantité d’énergie électrique. Appréciée d’un certain Pokémon.
	Pierre Aube	Dawn Stone	Pierre étrange qui fait évoluer certaines espèces de Pokémon. Elle brille comme un œil.
	Tissu Fauche	Reaper Cloth	Un tissu imprégné d’une énergie spirituelle horriblement puissante. Apprécié d’un certain Pokémon.
	Pierre Lune	Moon Stone	Une pierre étrange qui fait évoluer certaines espèces de Pokémon. Elle est noire comme la nuit.
	Pierre Feu	Fire Stone	Une pierre étrange qui fait évoluer certaines espèces de Pokémon. Elle est jaune et orange.
	Pierrefoudre	Thunderstone	Une pierre étrange qui fait évoluer certaines espèces de Pokémon. Un éclair est dessiné dessus.
	Pierreplante	Leaf Stone	Une pierre étrange qui fait évoluer certaines espèces de Pokémon. Une feuille est dessinée dessus.
	CD Douteux	Dubious Disc	Appareil transparent rempli de données douteuses. Son fabricant n’est pas connu.
	Magmariseur	Magmarizer	Une boîte remplie d’une énorme quantité d’énergie magmatique. Appréciée d’un certain Pokémon.
	Pierresoleil	Sun Stone	Une pierre étrange qui fait évoluer certaines espèces de Pokémon. Elle est rouge comme le soleil.
	Sachet Senteur	Sachet	Un sachet d'herbes et d'épices, au parfum trop marqué pour beaucoup, mais néanmoins apprécié d'un certain Pokémon.
	Chantibonbon	Whipped Dream	Une crème sucrée qui fond dans la bouche, légère comme un nuage. Elle est appréciée d'un certain Pokémon.
	Flûte Noire	Black Flute	Jouet en forme de flûte en verre noir. Les amateurs en donnent un bon prix.
	Flûteblanche	White Flute	Jouet en forme de flûte en verre blanc. Les amateurs en donnent un bon prix.
	Superepousse	Super Repel	Repousse les Pokémon sauvages faibles pendant 200 pas.
	Max Repousse	Max Repel	Repousse les Pokémon sauvages faibles pendant 250 pas.
	Corde Sortie	Escape Rope	Une corde longue et solide permettant de sortir rapidement d’une grotte ou d’un donjon.
	Repousse	Repel	Repousse les Pokémon sauvages faibles pendant 100 pas.
	Queue Skitty	Fluffy Tail	Objet qui attire les Pokémon. Permet de s’enfuir d’un combat contre un Pokémon sauvage.
	Poképoupée	Poké Doll	Poupée qui attire les Pokémon. Permet de s’enfuir d’un combat contre un Pokémon sauvage.
	Poképlumet	Poké Toy	Objet qui attire les Pokémon. Permet de s’enfuir d’un combat contre un Pokémon sauvage.
	Croc Rasoir	Razor Fang	Objet à tenir pouvant apeurer l’ennemi quand le porteur lui inflige des dégâts.
	Évoluroc	Eviolite	Un étrange concentré d’évolution qui augmente la Défense et la Déf. Spé. d’un Pokémon pouvant évoluer.
	Boule de Neige	Snowball	Objet à usage unique. Tenue, elle augmente l'Attaque du Pokémon lorsqu'il est touché par une capacité de type Glace.
	Lunettes Filtre	Safety Goggles	Protège le Pokémon contre les dégâts dus à la météo et la plupart des capacités utilisant de la poudre.
	Grif. Rasoir	Razor Claw	Objet à tenir. Griffe crochue et pointue augmentant le taux de critiques.
	Grosseracine	Big Root	Objet à tenir augmentant la puissance des attaques volant des PV.
	Carapace Mue	Shed Shell	Objet à tenir. Carapace dure qui permet au porteur de se retirer même s’il est affecté par une attaque immobilisante.
	Accro Griffe	Grip Claw	Objet à tenir augmentant la durée des attaques à tours multiples telles que Ligotage et Étreinte.
	Roche Humide	Damp Rock	Objet à tenir augmentant la durée de la capacité Danse Pluie utilisée par le porteur.
	Roche Chaude	Heat Rock	Objet à tenir augmentant la durée de la capacité Zénith utilisée par le porteur.
	Roche Lisse	Smooth Rock	Objet à tenir augmentant la durée de la capacité Tempêtesable utilisée par le porteur.
	Roche Glace	Icy Rock	Objet à tenir augmentant la durée de la capacité Grêle utilisée par le porteur.
	Boue Noire	Black Sludge	Objet à tenir restaurant peu à peu les PV des Pokémon de type Poison. Inflige des dégâts à tous les autres types.
	Lichen Lumineux	Luminous Moss	Du lichen à usage unique. Tenu, il augmente la Défense Spéciale lorsque le Pokémon subit une attaque de type Eau.
	Veste de Combat	Assault Vest	Une veste augmentant la Défense Spéciale, mais empêchant d'utiliser des attaques de statut.
	Pierrallégée	Float Stone	Une pierre très légère. Elle réduit le poids du Pokémon qui la tient.
	Casque Brut	Rocky Helmet	Tenu, cet objet inflige des dégâts à l’attaquant si ce dernier utilise une attaque physique qui atteint son but.
	Ballon	Air Balloon	Tenu par un Pokémon, cet objet lui permet de flotter dans les airs. Il éclate en cas d’attaque.
	Carton Rouge	Red Card	Carte au pouvoir mystérieux. Tenue, elle force un Pokémon touchant le porteur à se retirer du combat.
	Pt de Mire	Ring Target	Un Pokémon tenant cet objet devient sensible aux capacités autrement inefficaces en raison de son type.
	B. Étreinte	Binding Band	Objet à tenir augmentant la puissance des attaques immobilisantes telles que Ligotage ou Étreinte.
	Bulbe	Absorb Bulb	Bulbe jetable. Tenu, il augmente la Défense Spéciale lorsque le Pokémon subit une attaque de type Eau.
	Pile	Cell Battery	Pile jetable. Tenue, elle augmente l’Attaque lorsque le Pokémon subit une attaque de type Électrik.
	Bouton Fuite	Eject Button	Si le Pokémon qui le tient subit une attaque, il s’enfuit pour être remplacé par un autre membre de l’équipe.
	Offrisphère	Pass Orb	Sphère mystérieuse contenant l’Aura d’Unys et utilisable avec l’Offri-Aura.
	Vulné-Assurance	Weakness Policy	Augmente beaucoup l'Attaque et l'Attaque Spéciale du Pokémon lorsqu'il reçoit un coup d'un type auquel il est vulnérable.
	Nœud Destin	Destiny Knot	Un long fil rouge vif à faire tenir à un Pokémon. Si le porteur succombe à l’attirance, l’ennemi aussi.
	Lumargile	Light Clay	Objet à tenir augmentant la durée de capacités barrières telles que Mur Lumière et Protection.
	Bandeau	Focus Band	Objet à tenir pouvant parfois empêcher d’être mis K.O., ne laissant qu’un PV.
	Lentilscope	Scope Lens	Objet à tenir. Lentille qui augmente le taux de critiques du porteur.
	Restes	Leftovers	Objet à tenir permettant de restaurer les PV du porteur graduellement durant le combat.
	Grelot Coque	Shell Bell	Objet à tenir. Restaure un peu les PV du porteur à chaque fois qu’il inflige des dégâts.
	Orbe Vie	Life Orb	Objet à tenir augmentant la puissance des capacités, mais qui dépense des PV à chaque coup.
	Ceinture Pro	Expert Belt	Objet à tenir. Ceinture usée augmentant légèrement la puissance des capacités super efficaces.
	Encens Doux	Lax Incense	Objet à tenir. Le parfum trompeur de cet encens baisse la Précision de l’ennemi.
	Loupe	Wide Lens	Objet à tenir. Magnifique loupe augmentant un peu la Précision des capacités.
	Lunet. Sages	Wise Glasses	Objet à tenir. Paire de lunettes épaisses augmentant un peu la puissance des attaques spéciales.
	Boule Fumée	Smoke Ball	Objet à tenir. Permet au porteur de s’enfuir à coup sûr face à un Pokémon sauvage.
	Roche Royale	King's Rock	Objet à tenir. Peut apeurer l’ennemi lorsque le porteur lui inflige des dégâts.
	Poudreclaire	BrightPowder	Objet à tenir qui intimide et baisse la Précision de l’ennemi.
	Métronome	Metronome	Objet à tenir boostant une capacité utilisée à répétition. L’effet s’annule si une autre capacité est utilisée.
	Lentil. Zoom	Zoom Lens	Objet à tenir. Augmente la Précision du porteur s’il attaque après l’ennemi.
	Ceint. Force	Focus Sash	Objet à tenir permettant au porteur, s’il a ses PV pleins, d’éviter un potentiel K.O. en conservant un PV.
	Herbeblanche	White Herb	Objet à tenir qui restaure les stats baissées. Ne peut être utilisé qu’une fois.
	Vive Griffe	Quick Claw	Objet à tenir. Griffe légère mais tranchante qui permet parfois de frapper le premier.
	Herbe Pouv.	Power Herb	Objet à tenir et à usage unique. Permet d’utiliser immédiatement une capacité qui devrait se charger au premier tour.
	Herbe Mental	Mental Herb	Objet à tenir qui annule l’attirance d’un Pokémon. Ne peut être utilisé qu’une fois.
	Band. Muscle	Muscle Band	Objet à tenir. Bandeau augmentant légèrement la puissance des attaques physiques.
	Band. Choix	Choice Band	Objet à tenir. Ce bandeau monte l’Attaque, mais ne permet d’utiliser qu’une seule capacité par combat.
	Lunet. Choix	Choice Specs	Objet à tenir augmentant l’Attaque Spéciale, mais ne permettant d’utiliser qu’une seule capacité par combat.
	Mouch. Choix	Choice Scarf	Objet à tenir augmentant la Vitesse, mais ne permettant d’utiliser qu’une seule capacité par combat.
	Poign. Pouv.	Power Bracer	Objet à tenir augmentant l’Attaque lors des montées de niveau, mais réduisant la Vitesse pendant le combat.
	Ceint. Pouv.	Power Belt	Objet à tenir augmentant la Défense lors des montées de niveau, mais réduisant la Vitesse pendant le combat.
	Lent. Pouv.	Power Lens	Objet à tenir augmentant l’Attaque Spéciale lors des montées de niveau mais réduisant la Vitesse pendant le combat.
	Band. Pouv.	Power Band	Objet à tenir augmentant la Défense Spéciale lors des montées de niveau mais réduisant la Vitesse pendant le combat.
	Chaîne Pouv.	Power Anklet	Objet à tenir. Il augmente la Vitesse lors des montées de niveau mais réduit la Vitesse pendant le combat.
	Poids Pouv.	Power Weight	Objet à tenir augmentant les PV lors des montées de niveau, mais réduisant la Vitesse pendant le combat.
	Brac. Macho	Macho Brace	Objet à tenir. C’est un bracelet dur et lourd qui rend le porteur plus fort, mais baisse sa Vitesse.
	Balle Fer	Iron Ball	Objet à tenir réduisant la Vitesse. Rend les porteurs de type Vol et lévitant sensibles aux capacités de type Sol.
	Orbe Flamme	Flame Orb	Objet à tenir. Orbe bizarre brûlant son porteur durant le combat.
	Orbe Toxique	Toxic Orb	Objet à tenir. Orbe bizarre empoisonnant gravement son porteur durant le combat.
	Piquants	Sticky Barb	Objet à tenir blessant le porteur à chaque tour. Peut s’accrocher aux ennemis qui attaquent le porteur.
	Encens Plein	Full Incense	Objet à tenir. Encens au parfum exotique gonflant son porteur et le faisant se déplacer lentement.
	Ralentiqueue	Lagging Tail	Objet à tenir extrêmement lourd qui ralentit le porteur.
	Œuf Chance	Lucky Egg	Objet à tenir. Œuf rempli de joie qui augmente le nombre de points Exp. gagnés au combat.
	Pierre Stase	Everstone	Objet à tenir. Pierre merveilleuse empêchant l’évolution.
	Rune Purif.	Cleanse Tag	Objet à tenir. Aide à repousser les Pokémon sauvages si le porteur est le premier Pokémon de l’équipe.
	Grelot Zen	Soothe Bell	Objet à tenir. Grelot dont le carillon calme le porteur et favorise l’amitié.
	Multi Exp	Exp. Share	Objet à tenir. Le porteur reçoit une partie des points Exp. du combat sans avoir à combattre.
	Encens Veine	Luck Incense	Objet à tenir. Double l’argent gagné si le porteur se joint au combat.
	Encens Pur	Pure Incense	Objet à tenir. Aide à repousser les Pokémon sauvages si le porteur est le premier Pokémon de l’équipe.
	Pièce Rune	Amulet Coin	Objet à tenir. Double l’argent gagné si le porteur se joint au combat.
	Plaque Pixie	Pixie Plate	Objet à tenir. Une tablette en pierre augmentant la puissance des capacités de type Fée.
	Plaque Roc	Stone Plate	Objet à tenir. Tablette en pierre augmentant la puissance des capacités de type Roche.
	Plaquinsect	Insect Plate	Objet à tenir. Tablette en pierre augmentant la puissance des capacités de type Insecte.
	Plaquesprit	Mind Plate	Objet à tenir. Tablette en pierre augmentant la puissance des capacités de type Psy.
	Plaque Ciel	Sky Plate	Objet à tenir. Tablette en pierre augmentant la puissance des capacités de type Vol.
	Plaque Volt	Zap Plate	Objet à tenir. Tablette en pierre augmentant la puissance des capacités de type Électrik.
	Plaque Herbe	Meadow Plate	Objet à tenir. Tablette en pierre augmentant la puissance des capacités de type Plante.
	Plaque Glace	Icicle Plate	Objet à tenir. Tablette en pierre augmentant la puissance des capacités de type Glace.
	Plaque Terre	Earth Plate	Objet à tenir. Tablette en pierre augmentant la puissance des capacités de type Sol.
	Plaque Hydro	Splash Plate	Objet à tenir. Tablette en pierre augmentant la puissance des capacités de type Eau.
	Plaque Fantô	Spooky Plate	Objet à tenir. Tablette en pierre augmentant la puissance des capacités de type Spectre.
	Plaque Toxic	Toxic Plate	Objet à tenir. Tablette en pierre augmentant la puissance des capacités de type Poison.
	Plaque Flam	Flame Plate	Objet à tenir. Tablette en pierre augmentant la puissance des capacités de type Feu.
	Plaque Poing	Fist Plate	Objet à tenir. Tablette en pierre augmentant la puissance des capacités de type Combat.
	Plaque Fer	Iron Plate	Objet à tenir. Tablette en pierre augmentant la puissance des capacités de type Acier.
	Plaque Ombre	Dread Plate	Objet à tenir. Tablette en pierre augmentant la puissance des capacités de type Ténèbres.
	Plaque Draco	Draco Plate	Objet à tenir. Tablette en pierre augmentant la puissance des capacités de type Dragon.
	Orbe Platiné	Griseous Orb	Mystérieux objet destiné à Giratina. Améliore les capacités de type Dragon et Spectre.
	Ballelumière	Light Ball	Objet à faire tenir par Pikachu. Orbe énigmatique qui monte son Attaque et son Attaque Spéciale.
	Bâton	Stick	Objet à faire tenir à Canarticho. Poireau très long et solide qui monte son taux de critiques.
	Écailleocéan	Deep Sea Scale	Objet à faire tenir à Coquiperl. Écaille de couleur rose montant sa Défense Spéciale.
	Masse Os	Thick Club	Objet à faire tenir à Osselait ou Ossatueur. Os dur qui monte leur Attaque.
	Poing Chance	Lucky Punch	Objet à faire tenir à Leveinard. Paire de gants montant son taux de critiques.
	Poudre Métal	Metal Powder	Objet à faire tenir à Métamorph. Cette poudre étrange, très fine mais résistante, booste sa Défense.
	Module Cryo	Chill Drive	Tenu par Genesect, ce module change la capacité TechnoBuster en une capacité de type Glace.
	Orbe Adamant	Adamant Orb	Orbe très brillant destiné à Dialga. Augmente la puissance des capacités de type Dragon et Acier.
	Module Aqua	Douse Drive	Tenu par Genesect, ce module change la capacité TechnoBuster en une capacité de type Eau.
	Module Choc	Shock Drive	Tenu par Genesect, ce module change la capacité TechnoBuster en une capacité de type Électrik.
	Poudre Vite	Quick Powder	Objet à faire tenir à Métamorph. Cette poudre étrange, très fine mais résistante, augmente sa Vitesse.
	Module Pyro	Burn Drive	Tenu par Genesect, ce module change la capacité TechnoBuster en une capacité de type Feu.
	Rosée Âme	Soul Dew	Orbe prodigieux à faire tenir à Latios ou Latias qui monte leur Attaque Spéciale et leur Défense Spéciale.
	Dent Océan	Deep Sea Tooth	Objet à faire tenir à Coquiperl. Dent de couleur argent montant son Attaque Spéciale.
	Orbe Perlé	Lustrous Orb	Bel orbe luisant destiné à Palkia. Augmente la puissance des capacités de type Dragon et Eau.
	Croc Dragon	Dragon Fang	Objet à tenir. Croc dur et pointu montant la puissance des capacités de type Dragon.
	Mouch. Soie	Silk Scarf	Objet à tenir. Mouchoir somptueux montant la puissance des capacités de type Normal.
	Encens Mer	Sea Incense	Objet à tenir. Encens au parfum curieux qui augmente la puissance des capacités de type Eau.
	Encens Fleur	Rose Incense	Objet à tenir. Encens au parfum exotique augmentant la puissance des capacités de type Plante.
	Grain Miracl	Miracle Seed	Objet à tenir. Graine remplie de vie qui monte la puissance des capacités de type Plante.
	Encens Vague	Wave Incense	Objet à tenir. Encens au parfum exotique augmentant la puissance des capacités de type Eau.
	Encens Roc	Rock Incense	Objet à tenir. Encens au parfum exotique augmentant la puissance des capacités de type Roche.
	Bizar.Encens	Odd Incense	Objet à tenir. Encens au parfum exotique augmentant la puissance des capacités de type Psy.
	Charbon	Charcoal	Objet à tenir. Combustible montant la puissance des capacités de type Feu.
	Cuillertordu	Twisted Spoon	Objet à tenir. Cuillère contenant un pouvoir télékinésique montant la puissance des capacités de type Psy.
	Sable Doux	Soft Sand	Objet à tenir. Sable fin et soyeux montant la puissance des capacités de type Sol.
	Pierre Dure	Hard Stone	Objet à tenir. Pierre incassable qui monte la puissance des capacités de type Roche.
	Lunet.Noires	Black Glasses	Objet à tenir. Paire de lunettes à l’aspect louche qui monte la puissance des capacités de type Ténèbres.
	Poudre Arg.	Silver Powder	Objet à tenir. Poudre d’argent brillante qui monte la puissance des capacités de type Insecte.
	Ceint.Noire	Black Belt	Objet à tenir. Ceinture qui augmente la détermination et la puissance des capacités de type Combat.
	Aimant	Magnet	Objet à tenir. Aimant puissant montant la puissance des capacités de type Électrik.
	Eau Mystique	Mystic Water	Objet à tenir. Gemme en forme de goutte d’eau montant la puissance des capacités de type Eau.
	Bec Pointu	Sharp Beak	Objet à tenir. Bec long et pointu montant la puissance des capacités de type Vol.
	Peau Métal	Metal Coat	Objet à tenir. Pellicule métallique spéciale qui monte la puissance des capacités de type Acier.
	Pic Venin	Poison Barb	Objet à tenir. Petit pic empoisonné montant la puissance des capacités de type Poison.
	Rune Sort	Spell Tag	Objet à tenir. Plaque sinistre et étrange montant la puissance des capacités de type Spectre.
	Glacéternel	Never-Melt Ice	Objet à tenir. Morceau de glace qui réfléchit la chaleur et monte la puissance des capacités de type Glace.
	Petit Champi	TinyMushroom	Un petit champignon plutôt rare. Il est plutôt populaire parmi certains fans dévoués.
	Pépite	Nugget	Pépite d’or pur qui brille magnifiquement. Peut être vendue à bon prix aux magasins.
	Morc. Étoile	Star Piece	Fragment de gemme qui brille d’un éclat rouge. Peut se vendre à bon prix aux magasins.
	Jolie Aile	Pretty Wing	Une plume très jolie, mais ordinaire et sans effet particulier.
	Champi Suave	BalmMushroom	Champignon rare qui répand un agréable parfum autour de lui. Les amateurs en donnent un bon prix.
	Grande Perle	Big Pearl	Une grande perle qui brille d’une jolie couleur argent. Peut être vendue à bon prix aux magasins.
	Perle Triple	Pearl String	Une très grosse perle qui brille d’une jolie couleur argent. Les amateurs en donnent un bon prix.
	Morc. Comète	Comet Shard	Un fragment de comète, tombé au sol quand elle traversait l’atmosphère. Les amateurs en donnent un bon prix.
	Vieux Sou	Relic Copper	Une pièce de cuivre d’une civilisation vieille de plus de 3 000 ans. Les amateurs en donnent un bon prix.
	Vieil Écu	Relic Silver	Une pièce d’argent d’une civilisation vieille de plus de 3 000 ans. Les amateurs en donnent un bon prix.
	Vieux Ducat	Relic Gold	Une pièce d’or d’une civilisation vieille de plus de 3 000 ans. Les amateurs en donnent un bon prix.
	Vieux Vase	Relic Vase	Un vase d’une civilisation vieille de plus de 3 000 ans. Les amateurs en donnent un bon prix.
	Vieux Bijou	Relic Band	Un bijou d’une civilisation vieille de plus de 3 000 ans. Les amateurs en donnent un bon prix.
	Vieux Santon	Relic Statue	Une statuette d’une civilisation vieille de plus de 3 000 ans. Les amateurs en donnent un bon prix.
	Perle	Pearl	Une petite perle qui brille d’une jolie couleur argent. Peut être vendue à bas prix aux magasins.
	Gros Champi	Big Mushroom	Un grand champignon plutôt rare. Il est très populaire parmi certains fans dévoués.
	Os Rare	Rare Bone	Un os d’une grande valeur pour l’archéologie Pokémon. Peut être vendu à bon prix aux magasins.
	Pouss.Étoile	Stardust	Sable rouge ravissant, aux grains très fins. Peut être vendu à bon prix aux magasins.
	Maxi Pépite	Big Nugget	Grosse pépite d’or pur qui brille magnifiquement. Les amateurs en donnent un bon prix.
	Vieux Tortil	Relic Crown	Une couronne d’une civilisation vieille de plus de 3 000 ans. Les amateurs en donnent un bon prix.
	Aile Force	Muscle Wing	Objet à utiliser sur un Pokémon. Il augmente un peu son Attaque lors d’une montée de niveau.
	Protéine	Protein	Une boisson très nutritive qui monte l’Attaque de base d’un Pokémon.
	Fer	Iron	Une boisson très nutritive qui monte la Défense de base d’un Pokémon.
	Carbone	Carbos	Une boisson très nutritive qui monte la Vitesse de base d’un Pokémon.
	Calcium	Calcium	Une boisson très nutritive qui monte l’Attaque Spéciale de base d’un Pokémon.
	Aile Sprint	Swift Wing	Objet à utiliser sur un Pokémon. Il augmente un peu sa Vitesse lors d’une montée de niveau.
	PP Plus	PP Up	Monte un peu les PP max d’une capacité sélectionnée.
	Zinc	Zinc	Une boisson très nutritive qui monte la Défense Spéciale d’un Pokémon.
	PP Max	PP Max	Monte sensiblement les PP max d’une capacité sélectionnée.
	Pilule Talent	Ability Capsule	Une capsule permettant à un Pokémon pouvant avoir deux talents de changer de l'un à l'autre.
	Aile Mental	Clever Wing	Objet à utiliser sur un Pokémon. Il augmente un peu sa Déf. Spé. lors d’une montée de niveau.
	Aile Esprit	Genius Wing	Objet à utiliser sur un Pokémon. Il augmente un peu son Atq. Spé. lors d’une montée de niveau.
	Aile Armure	Resist Wing	Objet à utiliser sur un Pokémon. Il augmente un peu sa Défense lors d’une montée de niveau.
	PV Plus	HP Up	Une boisson très nutritive qui monte les PV de base d’un Pokémon.
	Super Bonbon	Rare Candy	Un bonbon plein d’énergie. Il permet à un Pokémon de gagner un niveau d’expérience.
	Aile Santé	Health Wing	Objet à utiliser sur un Pokémon. Il augmente un peu ses PV lors d’une montée de niveau.
	Soda Cool	Soda Pop	Une boisson pétillante. Restaure 60 PV à un Pokémon.
	Eau Fraîche	Fresh Water	Une eau riche en minéraux. Restaure 50 PV à un Pokémon.
	Racinénergie	Energy Root	Une racine très amère. Restaure 200 PV à un Pokémon.
	Potion Max	Max Potion	Un spray qui soigne les blessures. Restaure tous les PV d’un Pokémon.
